epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,623.409,1.90396,2.61231,0.99001,0.58459,0.43344,0.44381,0.20515,2.01058,1.97298,1.01643,0.000661728,0.000661728,0.000661728
2,1228.28,1.85943,1.84275,0.98124,0.7096,0.48701,0.5316,0.25731,1.90689,1.68401,0.98748,0.00128456,0.00128456,0.00128456
3,1833.19,1.82566,1.6189,0.97377,0.69506,0.5487,0.55782,0.26196,1.87183,1.63191,0.98409,0.00186339,0.00186339,0.00186339
4,2431.74,1.79373,1.45847,0.97472,0.69662,0.58523,0.59316,0.29804,1.78643,1.39919,0.96436,0.001802,0.001802,0.001802
5,3023.01,1.75022,1.34113,0.96216,0.70201,0.5622,0.57814,0.2785,1.83047,1.34178,0.97479,0.001736,0.001736,0.001736
6,3616.85,1.73645,1.26472,0.96337,0.70846,0.56818,0.60176,0.30527,1.77071,1.31507,0.96301,0.00167,0.00167,0.00167
7,4207.98,1.71916,1.24242,0.95035,0.74718,0.56132,0.60719,0.30968,1.72251,1.28123,0.94469,0.001604,0.001604,0.001604
8,4796.57,1.66064,1.14101,0.94624,0.72659,0.58279,0.63369,0.31525,1.74385,1.29496,0.93918,0.001538,0.001538,0.001538
9,5392.51,1.65241,1.12803,0.93699,0.73355,0.6039,0.62306,0.32269,1.71701,1.31937,0.93338,0.001472,0.001472,0.001472
10,5986.27,1.66834,1.11654,0.93072,0.77482,0.58093,0.64908,0.31937,1.71331,1.17915,0.94751,0.001406,0.001406,0.001406
11,6578.48,1.58959,1.07625,0.92363,0.75093,0.55844,0.6136,0.29638,1.79441,1.30475,0.95093,0.00134,0.00134,0.00134
12,7169.46,1.62858,1.05938,0.94326,0.71868,0.58061,0.61588,0.28888,1.77676,1.33032,0.93796,0.001274,0.001274,0.001274
13,8262.64,1.62387,1.03715,0.92556,0.79253,0.57955,0.64022,0.33236,1.6704,1.19153,0.91905,0.001208,0.001208,0.001208
14,8886.62,1.5803,1.00235,0.9181,0.75986,0.62338,0.65857,0.32483,1.68712,1.11904,0.91978,0.001142,0.001142,0.001142
15,9491.19,1.60092,1.00428,0.91555,0.77017,0.61471,0.65382,0.34219,1.67393,1.13167,0.91653,0.001076,0.001076,0.001076
16,10088.2,1.56191,0.96511,0.91473,0.77613,0.60552,0.65923,0.34503,1.66873,1.16542,0.91885,0.00101,0.00101,0.00101
17,10685.5,1.54234,0.96188,0.91622,0.75752,0.62381,0.65749,0.34089,1.63397,1.10623,0.91874,0.000944,0.000944,0.000944
18,11292.4,1.52506,0.96023,0.9049,0.82113,0.58766,0.66818,0.36467,1.62421,1.0668,0.91878,0.000878,0.000878,0.000878
19,11891.3,1.49633,0.92001,0.90666,0.8082,0.60881,0.66723,0.35038,1.64813,1.07741,0.92247,0.000812,0.000812,0.000812
20,12524.4,1.50617,0.91323,0.90364,0.77355,0.62662,0.66893,0.36679,1.60785,1.13515,0.90683,0.000746,0.000746,0.000746
21,13158,1.48463,0.97942,0.91858,0.80584,0.6266,0.68035,0.34834,1.66265,1.07661,0.92347,0.00068,0.00068,0.00068
22,13775.2,1.50267,0.96367,0.92294,0.77134,0.61688,0.65334,0.34811,1.63771,1.20271,0.9193,0.000614,0.000614,0.000614
23,14387.9,1.51098,0.96686,0.92018,0.77346,0.61523,0.66653,0.35889,1.59838,1.07159,0.91379,0.000548,0.000548,0.000548
24,14995.7,1.43743,0.90945,0.90105,0.74604,0.62825,0.67222,0.35919,1.61763,1.08245,0.91863,0.000482,0.000482,0.000482
25,15609.7,1.48867,0.92261,0.91062,0.75093,0.63799,0.67845,0.36634,1.60986,1.04173,0.91108,0.000416,0.000416,0.000416
26,16219.5,1.42187,0.87507,0.9088,0.79233,0.62987,0.689,0.37158,1.60499,1.02791,0.91626,0.00035,0.00035,0.00035
27,16891,1.44677,0.90762,0.91146,0.77103,0.64123,0.6866,0.36589,1.61792,1.06241,0.91176,0.000284,0.000284,0.000284
28,17519.2,1.44625,0.86913,0.90692,0.79028,0.63636,0.68439,0.37369,1.60719,1.02504,0.9149,0.000218,0.000218,0.000218
29,18138.2,1.43125,0.87801,0.90178,0.79904,0.62825,0.6809,0.3728,1.59853,1.05727,0.91399,0.000152,0.000152,0.000152
30,18768.3,1.39624,0.84932,0.89852,0.80822,0.62987,0.68693,0.37369,1.59966,1.04803,0.91476,8.6e-05,8.6e-05,8.6e-05
